,Original,Pais
4,"Moscow, Russia",Russia
8,"Rancho Santa Fe, CA, USA",USA
14,"Birmingham, England",England
31,"Trinidad, Bolivia",Bolivia
34,"Chisinau, Moldova",Moldova
35,"Sarajevo, Bosnia-Herzegovina",Bosnia-Herzegovina
36,"Bystrice nad Pernstejnem, CZE",CZE
40,"Roosendaal, The Netherlands",The Netherlands
42,Haarlem,Haarlem
48,,
49,Barcelona,Barcelona
53,Gatchina,Gatchina
58,Hyvink��,Hyvink��
59,Namangan,Namangan
60,Madrid,Madrid
61,"Suwon, South Korea",South Korea
62,Asenovgrad,Asenovgrad
64,Nuremberg,Nuremberg
65,Neuilly-sur-Seine,Neuilly-sur-Seine
66,"Ho Chi Minh, Vietnam",Vietnam
67,Brno,Brno
68,Frauenfeld,Frauenfeld
69,Dirksland,Dirksland
70,Lelystad,Lelystad
72,Casalmaggiore,Casalmaggiore
73,Weiden in der Oberpfalz,Weiden in der Oberpfalz
74,Schwaz,Schwaz
75,Saint Denis Reunion,Saint Denis Reunion
76,vicenza,vicenza
78,Guastalla,Guastalla
82,Gothenburg,Gothenburg
83,Tianjin,Tianjin
84,Ploiesti,Ploiesti
85,Wr.Neustadt,Wr.Neustadt
86,leuven,leuven
87,Karlskrona,Karlskrona
88,Longjumeau,Longjumeau
90,Lund,Lund
91,Miami,Miami
92,Ciutadella de Menorca,Ciutadella de Menorca
93,Kiev,Kiev
94,"Boise, Idaho",Idaho
95,Eksj�,Eksj�
96,Tomaszow Mazowiecki,Tomaszow Mazowiecki
97,Hamburg,Hamburg
100,"Slough, Great Britain",Great Britain
101,Rotenburg,Rotenburg
102,Taunton,Taunton
103,Hjo,Hjo
104,Ufa,Ufa
105,Xin jiang,Xin jiang
106,HEILONGJIANG,HEILONGJIANG
107,Saint Etienne,Saint Etienne
108,"Mostar, Bosnia & Herzegovina",Bosnia & Herzegovina
109,warsaw,warsaw
110,"Zvolen, Slovak Republic",Slovak Republic
112,Sant Carles de la Rapita,Sant Carles de la Rapita
113,Erice,Erice
114,High Wycombe,High Wycombe
119,"Tandil, Buenos Aires, Argentin",Argentin
120,Helsinki,Helsinki
121,"Jundiai, Sao Paulo, Brasil",Brasil
122,"Norwich, Norfolk",Norfolk
123,"Torrance, CA, U.S.A.",U.S.A.
124,"Tuzla, Bosnia",Bosnia
126,Tahiti,Tahiti
128,"San Francisco (Cordoba), ARG",ARG
130,"Uherske Hradiste, Czech Rep.",Czech Rep.
131,Bahia Blanca,Bahia Blanca
132,Bremen,Bremen
133,Stockholm,Stockholm
136,novosibirsk,novosibirsk
138,"Jindrichuv Hradec, Cz Republic",Cz Republic
140,"Bratislava, Czechoslovakia",Czechoslovakia
141,"Minneapolis, MN",MN
142,"Flushing, NY",NY
144,"Klausenburg, Rumania",Rumania
145,"Ann Arbor, MI",MI
146,"Hollywood, CA",CA
147,"Newark, NJ",NJ
148,"The Dalles, OR",OR
149,"Symmons, Plains,Tasmania,Aust.",Aust.
150,"Indianapolis, IN",IN
153,"Shelby, NC",NC
154,"Adelaide, S.A. Australia",S.A. Australia
155,"Springfield, MA",MA
156,"Sioux City, IA",IA
157,"Zagreb, Yugoslavia",Yugoslavia
158,"Toledo, OH",OH
159,"Washington, D.C.",D.C.
160,"Bogalusa, LA",LA
161,Wil,Wil
162,Essen,Essen
163,"Glasgow, Scotland",Scotland
164,Levallois,Levallois
165,Geneva,Geneva
166,Le Pont-De-Beauvoisin,Le Pont-De-Beauvoisin
167,New York,New York
168,London,London
169,Waalwijk,Waalwijk
170,Portschach am Worthersee,Portschach am Worthersee
171,Vilvoorde,Vilvoorde
172,Brisbane,Brisbane
173,Kristianstad,Kristianstad
174,Greenbrae,Greenbrae
175,Tallinn,Tallinn
176,Fargo,Fargo
177,Turku,Turku
178,Itzehoe,Itzehoe
179,Paris,Paris
180,Mar del Palta,Mar del Palta
182,Vienna,Vienna
183,Belgrade,Belgrade
184,Li�ge,Li�ge
185,Achim,Achim
186,Starnberg,Starnberg
